name,web,facebook,fbmention,twitter,meme,alias,status,remarks
הליכוד,https://likud.org.il,https://www.facebook.com/LikudNetanyahu,@LikudNetanyahu,likud_party,pic.twitter.com/NJnLqKqdAA,likud,pending,
המחנה הציוני,http://www.havoda.org.il/Web/Default.aspx,https://www.facebook.com/havoda,@havoda,havodaparty,pic.twitter.com/DbFegizylU,hamahane-hazioni,yes,
הבית היהודי,http://www.baityehudi.org.il,https://www.facebook.com/baityehudi.p,@baityehudi.p,,,habait-hayehudi,pending,
יש עתיד,http://www.yeshatid.org.il,https://www.facebook.com/pages/%D7%9E%D7%A4%D7%9C%D7%92%D7%AA-%D7%99%D7%A9-%D7%A2%D7%AA%D7%99%D7%93/426502237384307,@מפלגת-יש-עתיד,YeshAtidParty,pic.twitter.com/SNa1HEwrEI,yeshatid,no,
ישראל ביתנו,http://www.beytenu.org.il/,https://www.facebook.com/beytenu,@beytenu,beytenu,pic.twitter.com/RdzrsF9AYx,yisrael-beitenu,no,
כולנו,,https://www.facebook.com/kulanu.kahlonim,@kulanu.kahlonim,,,kulanu,no,
מרצ,http://meretz.org.il/,https://www.facebook.com/Meretz,@Meretz,meretzparty,,meretz,yes,
הרשימה המשותפת,,,,,,reshima-aravit,yes,
"ש""ס",,https://www.facebook.com/pages/%D7%9E%D7%A4%D7%9C%D7%92%D7%AA-%D7%A9%D7%A1-%D7%94%D7%93%D7%A3-%D7%94%D7%A8%D7%A9%D7%9E%D7%99/250584351635475,@מפלגת-שס-הדף-הרשמי,,,shas,pending,
יהדות התורה,,https://www.facebook.com/pages/%D7%99%D7%94%D7%93%D7%95%D7%AA-%D7%94%D7%AA%D7%95%D7%A8%D7%94/526338024136443,@יהדות-התורה,,,yahadut-hatora,pending,"תמונת גפני: ""<a target=""_blank"" href=""https://he.wikipedia.org/wiki/%D7%A7%D7%95%D7%91%D7%A5:IIPDF3432i.JPG"">בית השלום</a>"", בכפוף לרישיון <a href=""https://creativecommons.org/licenses/by-sa/3.0/deed.he"">Creative Commons ייחוס-שיתוף זהה 3.0</a>"
[ועדת חוקה],,,,,,_vaadat_huka,pending,
[ועדת פנים],,,,,,_vaadat_pnim,pending,
[ועדת המדע],,,,,,_vaadat_mada,pending,
[הוועדה המשותפת],,,,,,_vaada_meshutefet,pending,
